story_id,obs1,obs2,real_hypothesis,comet_model,abduction_gpt_lg_model,abduction_gpt_md_model,abduction_gpt_sm_model
83ec85ea-d6ac-4a33-bbc2-58c1b645aaf7-1,Ernest wanted to get some lunch.,He got a free soda.,Ernest didn't use his coupon.,Ernest decided to go to the grocery store.,Ernest used his coupon to get a meal.  came out very hungry. ,Ernest used his coupon to get a meal. ,Ernest went to the store to buy some. Ernest went to the store. Ernest went to the store
8409cfc0-a9da-4c11-87d9-2c55436e1d77-1,Every year my sister and I put up the Christmas tree.,When the tree is complete it looks beautiful.,It takes a long time but the effort is worth it each summer.,My sister and I had the tree lit for the holiday.,We have a lot of experience. . ,We put up the Christmas tree. ,We put up a tree for Christmas. We had a lot of fun. We had a lot of fun
8409cfc0-a9da-4c11-87d9-2c55436e1d77-1,Every year my sister and I put up the Christmas tree.,When the tree is complete it looks beautiful.,It takes several hours.,The Christmas tree was put together.,We have a lot of experience. . ,We put up the Christmas tree. ,We put up a tree for Christmas. We had a lot of fun. We had a lot of fun
8409cfc0-a9da-4c11-87d9-2c55436e1d77-1,Every year my sister and I put up the Christmas tree.,When the tree is complete it looks beautiful.,It's hard work to put all the chldren on the tree.,We put it up to a tree.,We have a lot of experience. . ,We put up the Christmas tree. ,We put up a tree for Christmas. We had a lot of fun. We had a lot of fun
8409cfc0-a9da-4c11-87d9-2c55436e1d77-1,Every year my sister and I put up the Christmas tree.,When the tree is complete it looks beautiful.,We have a lot of experience.,I put up a Christmas tree.,We have a lot of experience. . ,We put up the Christmas tree. ,We put up a tree for Christmas. We had a lot of fun. We had a lot of fun
8409cfc0-a9da-4c11-87d9-2c55436e1d77-1,Every year my sister and I put up the Christmas tree.,When the tree is complete it looks beautiful.,We hate doing this.,I painted the tree.,We have a lot of experience. . ,We put up the Christmas tree. ,We put up a tree for Christmas. We had a lot of fun. We had a lot of fun
8411d6bc-9e95-4a9b-b13e-7023d84a97ba-1,"Dolly baked a cake, big and pink, for Alice's wedding.",Dolly then baked a coconut cake with a hammer in it.,Alice decided to become a nun.,"Alice was doing chores for her mom, so she started doing chores in the kitchen.",Alice decided to make a cake.  came out perfectly. ,Alice decided not to get married. ,Dolly's husband was very happy. Dolly's husband asked her to bake a cake. Dolly's husband asked her to bake a cake
8411d6bc-9e95-4a9b-b13e-7023d84a97ba-1,"Dolly baked a cake, big and pink, for Alice's wedding.",Dolly then baked a coconut cake with a hammer in it.,Alice got jailed the day before the wedding.,Dolly accidentally dropped the cake.,Alice decided to make a cake.  came out perfectly. ,Alice decided not to get married. ,Dolly's husband was very happy. Dolly's husband asked her to bake a cake. Dolly's husband asked her to bake a cake
8411d6bc-9e95-4a9b-b13e-7023d84a97ba-1,"Dolly baked a cake, big and pink, for Alice's wedding.",Dolly then baked a coconut cake with a hammer in it.,Bob wanted a screwdriver and chocolate cake for his birthday.,Dolly was not very happy with the cake.,Alice decided to make a cake.  came out perfectly. ,Alice decided not to get married. ,Dolly's husband was very happy. Dolly's husband asked her to bake a cake. Dolly's husband asked her to bake a cake
842d8214-8775-45f9-9ce5-ab9ec254a570-1,I was always a big fan of Volkswagen.,I was angry at Volkswagen for cheating me.,Volkswagen lied about emissions tests.,I bought a car on sale that I had no control over.,I found out enough to have my own car.  came to me. ,I found out Volkswagen cheated on their car. ,I was driving my car. I was late for work. I was late for work
842d8214-8775-45f9-9ce5-ab9ec254a570-1,I was always a big fan of Volkswagen.,I was angry at Volkswagen for cheating me.,I bought my first Volkswagen car and it ran great.,"I paid a big price for one, but got my choice anyway.",I found out enough to have my own car.  came to me. ,I found out Volkswagen cheated on their car. ,I was driving my car. I was late for work. I was late for work
842d8214-8775-45f9-9ce5-ab9ec254a570-1,I was always a big fan of Volkswagen.,I was angry at Volkswagen for cheating me.,I found out Volkswagen cheated on their emissions tests.,I bought a used car for a flat price.,I found out enough to have my own car.  came to me. ,I found out Volkswagen cheated on their car. ,I was driving my car. I was late for work. I was late for work
842d8214-8775-45f9-9ce5-ab9ec254a570-1,I was always a big fan of Volkswagen.,I was angry at Volkswagen for cheating me.,Volkswagen didn't honor my rebate on my car.,I went to a car dealership to see what was wrong with my heart and the car didn't quit,I found out enough to have my own car.  came to me. ,I found out Volkswagen cheated on their car. ,I was driving my car. I was late for work. I was late for work
844d6a4a-fb74-432e-80ce-90412d35da17-1,Pete and his friends wanted to see a movie.,"Finally, they were able to watch the movie together.",They had to plan out to see the movie though.,Pete and his friends met a movie producer.,They had trouble setting up a time to go see it.  came and had to 1 and asked them to,They had to plan out to see the movie though. ,Pete and his friends were watching a movie. Pete and his friends were watching a movie. Pete and his friends were watching a movie
844d6a4a-fb74-432e-80ce-90412d35da17-1,Pete and his friends wanted to see a movie.,"Finally, they were able to watch the movie together.",The 1st showing was sold out so they bought tickets for a later showing of the play.,Pete and his friends couldn't find a movie partner.,They had trouble setting up a time to go see it.  came and had to 1 and asked them to,They had to plan out to see the movie though. ,Pete and his friends were watching a movie. Pete and his friends were watching a movie. Pete and his friends were watching a movie
844d6a4a-fb74-432e-80ce-90412d35da17-1,Pete and his friends wanted to see a movie.,"Finally, they were able to watch the movie together.",They had trouble setting up a time to go see it.,Pete and his friends planned a week's advance notice.,They had trouble setting up a time to go see it.  came and had to 1 and asked them to,They had to plan out to see the movie though. ,Pete and his friends were watching a movie. Pete and his friends were watching a movie. Pete and his friends were watching a movie
844d6a4a-fb74-432e-80ce-90412d35da17-1,Pete and his friends wanted to see a movie.,"Finally, they were able to watch the movie together.",James came up but they figured out a flight.,Pete and his friends stayed over.,They had trouble setting up a time to go see it.  came and had to 1 and asked them to,They had to plan out to see the movie though. ,Pete and his friends were watching a movie. Pete and his friends were watching a movie. Pete and his friends were watching a movie
8469de7b-28b1-4f0a-a645-1f3a3c75083a-1,CJ wanted leather couches.,He decided to wait to replace them until the dogs died.,But CJ's old dog loved to chew on leather furniture.,CJ had a loved one.,CJ saw his dogs scratching the fabric sofas.  was the again to take to the dogs. ,CJ saw his dogs scratching the fabric sofas. ,CJ bought a leather couche. CJ found a dog that was very old. CJ found a dog that was very old
8469de7b-28b1-4f0a-a645-1f3a3c75083a-1,CJ wanted leather couches.,He decided to wait to replace them until the dogs died.,CJ bought the leather couches that day.,he found a dog in a leather coupture and really liked the leather because it was so heavy,CJ saw his dogs scratching the fabric sofas.  was the again to take to the dogs. ,CJ saw his dogs scratching the fabric sofas. ,CJ bought a leather couche. CJ found a dog that was very old. CJ found a dog that was very old
8469de7b-28b1-4f0a-a645-1f3a3c75083a-1,CJ wanted leather couches.,He decided to wait to replace them until the dogs died.,CJ never saw a chewed couch at friends'place.,CJ heard in the evening that he had purchased some pets but had no reliable medium to purchase the,CJ saw his dogs scratching the fabric sofas.  was the again to take to the dogs. ,CJ saw his dogs scratching the fabric sofas. ,CJ bought a leather couche. CJ found a dog that was very old. CJ found a dog that was very old
8469de7b-28b1-4f0a-a645-1f3a3c75083a-1,CJ wanted leather couches.,He decided to wait to replace them until the dogs died.,"CJ's dogs liked the furniture, however.",He found that his dogs had carpet issues.,CJ saw his dogs scratching the fabric sofas.  was the again to take to the dogs. ,CJ saw his dogs scratching the fabric sofas. ,CJ bought a leather couche. CJ found a dog that was very old. CJ found a dog that was very old
8494787a-2096-4223-99a0-c1bfd557e2df-1,Lila wanted to learn how to sign her name.,"Using her new skill, she introduced herself to a deaf girl at school.",Lila new of someone who would help her learn.,Lila worked with a deaf girl.,Lila new of someone who would help her learn. . ,Lila practiced how to sign. ,Lila was very interested in the sign language. Lila learned to sign her name. Lila was very interested in the sign language
8494787a-2096-4223-99a0-c1bfd557e2df-1,Lila wanted to learn how to sign her name.,"Using her new skill, she introduced herself to a deaf girl at school.",Lila practiced how to sign.,Lila practiced for weeks.,Lila new of someone who would help her learn. . ,Lila practiced how to sign. ,Lila was very interested in the sign language. Lila learned to sign her name. Lila was very interested in the sign language
8494787a-2096-4223-99a0-c1bfd557e2df-1,Lila wanted to learn how to sign her name.,"Using her new skill, she introduced herself to a deaf girl at school.",Lila never studied sign language.,Lila signed and learned sign the first day.,Lila new of someone who would help her learn. . ,Lila practiced how to sign. ,Lila was very interested in the sign language. Lila learned to sign her name. Lila was very interested in the sign language
8494787a-2096-4223-99a0-c1bfd557e2df-1,Lila wanted to learn how to sign her name.,"Using her new skill, she introduced herself to a deaf girl at school.",Lila didn't like to talk to deaf people.,She looked up rules in a speech diary and started to understand.,Lila new of someone who would help her learn. . ,Lila practiced how to sign. ,Lila was very interested in the sign language. Lila learned to sign her name. Lila was very interested in the sign language
8494787a-2096-4223-99a0-c1bfd557e2df-1,Lila wanted to learn how to sign her name.,"Using her new skill, she introduced herself to a deaf girl at school.",Lila watched Youtube videos to learn Spanish.,She joined a sign language class.,Lila new of someone who would help her learn. . ,Lila practiced how to sign. ,Lila was very interested in the sign language. Lila learned to sign her name. Lila was very interested in the sign language
84dbc93f-cc20-46ae-b869-69587368c3e1-1,Jamal and Darnell were friends who both grew up in the ghetto.,"In Jamal's memory, Darnell founded a support group in the ghetto.",Darnell died as a boy.,The three could not together enjoy their lives.,Darnell died as a boy.  came to rest on. ,Darnell died as a boy. ,Jamal and Darnell were both homeless. Jamal and Darnell were homeless. Jamal and Darnell were homeless
84dbc93f-cc20-46ae-b869-69587368c3e1-1,Jamal and Darnell were friends who both grew up in the ghetto.,"In Jamal's memory, Darnell founded a support group in the ghetto.",Jamal and Darnell both struggled getting by.,They loved and loved their homes.,Darnell died as a boy.  came to rest on. ,Darnell died as a boy. ,Jamal and Darnell were both homeless. Jamal and Darnell were homeless. Jamal and Darnell were homeless
84dbc93f-cc20-46ae-b869-69587368c3e1-1,Jamal and Darnell were friends who both grew up in the ghetto.,"In Jamal's memory, Darnell founded a support group in the ghetto.",Jamal got killed.,Jamal didn't like that his friends left.,Darnell died as a boy.  came to rest on. ,Darnell died as a boy. ,Jamal and Darnell were both homeless. Jamal and Darnell were homeless. Jamal and Darnell were homeless
84dbc93f-cc20-46ae-b869-69587368c3e1-1,Jamal and Darnell were friends who both grew up in the ghetto.,"In Jamal's memory, Darnell founded a support group in the ghetto.",Jamal shot and injured Darnell over a pack of cigarettes.,"Jamal told his brother, Darnell, that he was unemployed.",Darnell died as a boy.  came to rest on. ,Darnell died as a boy. ,Jamal and Darnell were both homeless. Jamal and Darnell were homeless. Jamal and Darnell were homeless
8514054c-ba14-4c20-b40d-6d24cb6c74b4-1,"A girl was fascinated by rain, even though she lived in the desert.","The girl knew she made the right decision, she had never been happier.",A girl moved to a suburban community to go to school and meet old friends.,The girl decided she would go out anyway.,She decided to go to the desert to find something to where she live. . ,A girl decided to move to the desert. ,The girl decided to go to the beach. The girl decided to go to the beach. The girl was very shy
8514054c-ba14-4c20-b40d-6d24cb6c74b4-1,"A girl was fascinated by rain, even though she lived in the desert.","The girl knew she made the right decision, she had never been happier.",A girl moved to the rainforest.,The girl decided to make a change.,She decided to go to the desert to find something to where she live. . ,A girl decided to move to the desert. ,The girl decided to go to the beach. The girl decided to go to the beach. The girl was very shy
8514054c-ba14-4c20-b40d-6d24cb6c74b4-1,"A girl was fascinated by rain, even though she lived in the desert.","The girl knew she made the right decision, she had never been happier.","After years of living in the desert, she decided to move to Seattle where it rained a lot.",A girl decided to clean up the mess caused by rain.,She decided to go to the desert to find something to where she live. . ,A girl decided to move to the desert. ,The girl decided to go to the beach. The girl decided to go to the beach. The girl was very shy
8514054c-ba14-4c20-b40d-6d24cb6c74b4-1,"A girl was fascinated by rain, even though she lived in the desert.","The girl knew she made the right decision, she had never been happier.",She didnt get to enjoy the bike as much.,The girl decided she had to make a choice.,She decided to go to the desert to find something to where she live. . ,A girl decided to move to the desert. ,The girl decided to go to the beach. The girl decided to go to the beach. The girl was very shy
8514054c-ba14-4c20-b40d-6d24cb6c74b4-1,"A girl was fascinated by rain, even though she lived in the desert.","The girl knew she made the right decision, she had never been happier.",The girl moved to Antarctica.,The girl decided to walk through the rain and try to get some photos of the place.,She decided to go to the desert to find something to where she live. . ,A girl decided to move to the desert. ,The girl decided to go to the beach. The girl decided to go to the beach. The girl was very shy
85234335-c5e2-4a68-b9db-06cb8b2c0807-1,Lucy found a large jar of coins in her grandpa's den.,Grandpa gave Lucy $35 for her effort.,Lucy brought the jar of coins to her grandpa.,Lucy's grandpa gave her money.,Lucy then showed her grandpa her finding's.  found her grandpa's. ,Lucy then showed her grandpa her finding's. ,Lucy found a large coin in her grandma's house. Lucy found a coin in her grandma's house. Lucy found a coin in her grandma's house
85234335-c5e2-4a68-b9db-06cb8b2c0807-1,Lucy found a large jar of coins in her grandpa's den.,Grandpa gave Lucy $35 for her effort.,Lucy then hid from her grandpa her finding's.,Lucy did the same thing with the same coin.,Lucy then showed her grandpa her finding's.  found her grandpa's. ,Lucy then showed her grandpa her finding's. ,Lucy found a large coin in her grandma's house. Lucy found a coin in her grandma's house. Lucy found a coin in her grandma's house
85234335-c5e2-4a68-b9db-06cb8b2c0807-1,Lucy found a large jar of coins in her grandpa's den.,Grandpa gave Lucy $35 for her effort.,Lucy took the jar of coins to a Coinstar.,Lucy volunteered with the local branch of the U.S. Army.,Lucy then showed her grandpa her finding's.  found her grandpa's. ,Lucy then showed her grandpa her finding's. ,Lucy found a large coin in her grandma's house. Lucy found a coin in her grandma's house. Lucy found a coin in her grandma's house
855db2ec-7b92-4cb4-804f-0c6fc34da5c1-1,I had just been accepted to a new job.,She gave me a Jaguar!,My boss did so well she wanted to give me a material bonus.,I was nervous about giving birth.,I worked hard and applied to a new job.  was the first day. ,I was offered a well paying full time job. ,I was excited to get a new car. I was excited to get a new car. I was nervous about getting a new car
855db2ec-7b92-4cb4-804f-0c6fc34da5c1-1,I had just been accepted to a new job.,She gave me a Jaguar!,I received a brand new wok for my good work.,I asked her for an autograph.,I worked hard and applied to a new job.  was the first day. ,I was offered a well paying full time job. ,I was excited to get a new car. I was excited to get a new car. I was nervous about getting a new car
855db2ec-7b92-4cb4-804f-0c6fc34da5c1-1,I had just been accepted to a new job.,She gave me a Jaguar!,my grandmother was thrilled and wanted to spoil me.,I was surprised to find a sedan by the workplace.,I worked hard and applied to a new job.  was the first day. ,I was offered a well paying full time job. ,I was excited to get a new car. I was excited to get a new car. I was nervous about getting a new car
855db2ec-7b92-4cb4-804f-0c6fc34da5c1-1,I had just been accepted to a new job.,She gave me a Jaguar!,My new boss offered me a car.,I looked at a large house at the nearby supermarket.,I worked hard and applied to a new job.  was the first day. ,I was offered a well paying full time job. ,I was excited to get a new car. I was excited to get a new car. I was nervous about getting a new car
855db2ec-7b92-4cb4-804f-0c6fc34da5c1-1,I had just been accepted to a new job.,She gave me a Jaguar!,i was appointed as a intern of a big firm.,I had been wanting a long time.,I worked hard and applied to a new job.  was the first day. ,I was offered a well paying full time job. ,I was excited to get a new car. I was excited to get a new car. I was nervous about getting a new car
8585add4-8a05-4914-b7f8-28abe7fa72ab-1,Kay wanted to save money to give her kids a nice Christmas.,"With their help, Kay saved almost $500 by Christmas!",Kay kept having to borrow money from the piggy bank for emergencies.,Kay saw some parents wanting to get parents involved.,Kay's family decided to help the kids.  came up with a few that were $20. ,Kay's kids decided to get a part-time job and not sell the stuff. ,Kay decided to give her kids gifts. Kay decided to give them gifts. Kay decided to give them to her friends
8585add4-8a05-4914-b7f8-28abe7fa72ab-1,Kay wanted to save money to give her kids a nice Christmas.,"With their help, Kay saved almost $500 by Christmas!",Kay's family decided to chip in.,Kay hired a valet.,Kay's family decided to help the kids.  came up with a few that were $20. ,Kay's kids decided to get a part-time job and not sell the stuff. ,Kay decided to give her kids gifts. Kay decided to give them gifts. Kay decided to give them to her friends
8585add4-8a05-4914-b7f8-28abe7fa72ab-1,Kay wanted to save money to give her kids a nice Christmas.,"With their help, Kay saved almost $500 by Christmas!",Kay's friends pitched in to help the kids.,Kay started taking on extra responsibility.,Kay's family decided to help the kids.  came up with a few that were $20. ,Kay's kids decided to get a part-time job and not sell the stuff. ,Kay decided to give her kids gifts. Kay decided to give them gifts. Kay decided to give them to her friends
8585add4-8a05-4914-b7f8-28abe7fa72ab-1,Kay wanted to save money to give her kids a nice Christmas.,"With their help, Kay saved almost $500 by Christmas!",Kay's kids helped her sell some old stuff at a garage sale.,Kay gave them ideas.,Kay's family decided to help the kids.  came up with a few that were $20. ,Kay's kids decided to get a part-time job and not sell the stuff. ,Kay decided to give her kids gifts. Kay decided to give them gifts. Kay decided to give them to her friends
8585add4-8a05-4914-b7f8-28abe7fa72ab-1,Kay wanted to save money to give her kids a nice Christmas.,"With their help, Kay saved almost $500 by Christmas!",They decided to eat out instead of cereal for two months.,Kay asked her friend to help with the Christmas tree.,Kay's family decided to help the kids.  came up with a few that were $20. ,Kay's kids decided to get a part-time job and not sell the stuff. ,Kay decided to give her kids gifts. Kay decided to give them gifts. Kay decided to give them to her friends
85abc99e-b9f4-42b2-a85d-7955c8c79f14-1,Madison is afraid of clowns.,She and her friends left the carnival.,Madison ran up and gave the clown a kiss.,Madison decided to go to a carnival instead of going to the carnival.,Madison saw a lot of clowns at the carnival.  is a very rude and yelled. ,Madison saw a carnival at a carnival. ,Madison was scared of clowns. Madison saw a clown. Madison saw a clown
85abc99e-b9f4-42b2-a85d-7955c8c79f14-1,Madison is afraid of clowns.,She and her friends left the carnival.,Madison saw a lot of clowns at the carnival.,Madison didn't want to go.,Madison saw a lot of clowns at the carnival.  is a very rude and yelled. ,Madison saw a carnival at a carnival. ,Madison was scared of clowns. Madison saw a clown. Madison saw a clown
85abc99e-b9f4-42b2-a85d-7955c8c79f14-1,Madison is afraid of clowns.,She and her friends left the carnival.,Madison saw one at a funeral.,Madison went to the carnival with friends and seen clowns.,Madison saw a lot of clowns at the carnival.  is a very rude and yelled. ,Madison saw a carnival at a carnival. ,Madison was scared of clowns. Madison saw a clown. Madison saw a clown
85abc99e-b9f4-42b2-a85d-7955c8c79f14-1,Madison is afraid of clowns.,She and her friends left the carnival.,Madison saw several clowns at the carnival.,Madison couldn't believe the people in clowns.,Madison saw a lot of clowns at the carnival.  is a very rude and yelled. ,Madison saw a carnival at a carnival. ,Madison was scared of clowns. Madison saw a clown. Madison saw a clown
85abc99e-b9f4-42b2-a85d-7955c8c79f14-1,Madison is afraid of clowns.,She and her friends left the carnival.,Madison went to a carnival where she encountered a clown and began to scream.,Madison ran out of jokes for her friends.,Madison saw a lot of clowns at the carnival.  is a very rude and yelled. ,Madison saw a carnival at a carnival. ,Madison was scared of clowns. Madison saw a clown. Madison saw a clown
85cc4bad-5cd3-494f-be90-e3c16e512cab2,My daughter had her baby shower in our Boston home.,My daughter was excited.,All of my daughter's friend and family came.,My daughter's baby shower was at Fenway Park.,All of my daughter's friend and family came.  came and gave my daughter everything to take. ,All of my daughter's friend and family came. ,My daughter was so excited. [SEP]My daughter was very excited. My daughter was very excited
85cc4bad-5cd3-494f-be90-e3c16e512cab2,My daughter had her baby shower in our Boston home.,My daughter was excited.,Greg told no one to go and she got no gifts.,My daughter had a lot of things she wanted.,All of my daughter's friend and family came.  came and gave my daughter everything to take. ,All of my daughter's friend and family came. ,My daughter was so excited. [SEP]My daughter was very excited. My daughter was very excited
85cc4bad-5cd3-494f-be90-e3c16e512cab2,My daughter had her baby shower in our Boston home.,My daughter was excited.,Lots of her friends came and gave her presents.,My daughter had the baby shower and is on the delivery stage.,All of my daughter's friend and family came.  came and gave my daughter everything to take. ,All of my daughter's friend and family came. ,My daughter was so excited. [SEP]My daughter was very excited. My daughter was very excited
860b44d0-69c2-498f-894c-78f80a1d2fce-1,Amy had been driving her car for 10 years.,Amy ended up yanking it off so she could continue driving.,A piece of Amy's bumper fell off.,Amy did not listen to her phone.,Amy found a driving class’s phone number in her windshield.  Amy to drive the car. ,Amy found a driving class asteroid on her windshield. ,Amy's car broke down and she lost control. Amy's car broke down. Amy's car was totaled
860b44d0-69c2-498f-894c-78f80a1d2fce-1,Amy had been driving her car for 10 years.,Amy ended up yanking it off so she could continue driving.,Amy found a free meal on her windshield.,Amy had a bad tire.,Amy found a driving class’s phone number in her windshield.  Amy to drive the car. ,Amy found a driving class asteroid on her windshield. ,Amy's car broke down and she lost control. Amy's car broke down. Amy's car was totaled
860b44d0-69c2-498f-894c-78f80a1d2fce-1,Amy had been driving her car for 10 years.,Amy ended up yanking it off so she could continue driving.,"Her necklace scraped against her skin, driving her.",Amy ended up yanking her car.,Amy found a driving class’s phone number in her windshield.  Amy to drive the car. ,Amy found a driving class asteroid on her windshield. ,Amy's car broke down and she lost control. Amy's car broke down. Amy's car was totaled
8619a48b-353a-41be-8a5a-acc46b39ace0-1,Ricky was starving.,Ricky loved eating Italian food!,Ricky went to a buffet restaurant.,Ricky decided to go to Italy for the first time.,Ricky decided to make some pasta.  came out perfectly clean. ,Ricky decided to make some pasta. ,Ricky was so hungry he decided to try Italian food. [SEP]Ricky was so hungry he decided to try Italian food. Ricky was hungry
8619a48b-353a-41be-8a5a-acc46b39ace0-1,Ricky was starving.,Ricky loved eating Italian food!,Ricky got some italian food.,Ricky decided to make his own Italian food.,Ricky decided to make some pasta.  came out perfectly clean. ,Ricky decided to make some pasta. ,Ricky was so hungry he decided to try Italian food. [SEP]Ricky was so hungry he decided to try Italian food. Ricky was hungry
8619a48b-353a-41be-8a5a-acc46b39ace0-1,Ricky was starving.,Ricky loved eating Italian food!,Ricky decided to make a salad.,Ricky went to Italian food at the restaurant.,Ricky decided to make some pasta.  came out perfectly clean. ,Ricky decided to make some pasta. ,Ricky was so hungry he decided to try Italian food. [SEP]Ricky was so hungry he decided to try Italian food. Ricky was hungry
8619a48b-353a-41be-8a5a-acc46b39ace0-1,Ricky was starving.,Ricky loved eating Italian food!,So Ricky called ubereats to bring him some Pasta and pizza.,Ricky went to the Italian restaurant.,Ricky decided to make some pasta.  came out perfectly clean. ,Ricky decided to make some pasta. ,Ricky was so hungry he decided to try Italian food. [SEP]Ricky was so hungry he decided to try Italian food. Ricky was hungry
8645c9b9-631a-46a9-9acc-6351f75253ec-1,Alice's best friends were her three cats.,"When Alice died, neighbors knew when the conversation stopped.",Alice talked to herself every day.,Alice's cats did not want to talk to each other.,Alice used to talk to her cats. . ,Alice would talk the them all day inside and out. ,Alice's best friend died. Alice's best friend died. Alice's best friend died
8645c9b9-631a-46a9-9acc-6351f75253ec-1,Alice's best friends were her three cats.,"When Alice died, neighbors knew when the conversation stopped.",Alice used to talk to her cats.,Alice was not able to answer the cats' questions.,Alice used to talk to her cats. . ,Alice would talk the them all day inside and out. ,Alice's best friend died. Alice's best friend died. Alice's best friend died
8645c9b9-631a-46a9-9acc-6351f75253ec-1,Alice's best friends were her three cats.,"When Alice died, neighbors knew when the conversation stopped.","Alice would talk the them all day, inside and out.",Alice had more cats than she anticipated.,Alice used to talk to her cats. . ,Alice would talk the them all day inside and out. ,Alice's best friend died. Alice's best friend died. Alice's best friend died
8645c9b9-631a-46a9-9acc-6351f75253ec-1,Alice's best friends were her three cats.,"When Alice died, neighbors knew when the conversation stopped.",She always talked to them and could be heard from outside.,Alice thought cats always seemed sad.,Alice used to talk to her cats. . ,Alice would talk the them all day inside and out. ,Alice's best friend died. Alice's best friend died. Alice's best friend died
86b42126-6fee-4bb2-94f0-5c8cecd375aa1,Gina liked to volunteer at a homeless shelter.,Gina stopped volunteering because she felt unappreciated.,No one appreciated Gina's attempts at being friendly.,Gina saw a homeless woman near the shelter.,The people at the shelter never said thank you.  came to Gina'sfalls. ,Gina was rejected when she was offered a job. ,Gina was asked to leave the shelter. Gina was asked to leave the shelter. Gina was asked to leave the shelter
86b42126-6fee-4bb2-94f0-5c8cecd375aa1,Gina liked to volunteer at a homeless shelter.,Gina stopped volunteering because she felt unappreciated.,Gina felt that she mistreated her superiors.,Gina had been on the receiving end of many abuse by her shelters.,The people at the shelter never said thank you.  came to Gina'sfalls. ,Gina was rejected when she was offered a job. ,Gina was asked to leave the shelter. Gina was asked to leave the shelter. Gina was asked to leave the shelter
86b42126-6fee-4bb2-94f0-5c8cecd375aa1,Gina liked to volunteer at a homeless shelter.,Gina stopped volunteering because she felt unappreciated.,The homeless people made a huge mess Gina had to clean up.,The shelter seemed to have no connection to Gina's volunteering experience.,The people at the shelter never said thank you.  came to Gina'sfalls. ,Gina was rejected when she was offered a job. ,Gina was asked to leave the shelter. Gina was asked to leave the shelter. Gina was asked to leave the shelter
86b42126-6fee-4bb2-94f0-5c8cecd375aa1,Gina liked to volunteer at a homeless shelter.,Gina stopped volunteering because she felt unappreciated.,The people at the shelter always said thank you.,The shelter gave so many homeless people food.,The people at the shelter never said thank you.  came to Gina'sfalls. ,Gina was rejected when she was offered a job. ,Gina was asked to leave the shelter. Gina was asked to leave the shelter. Gina was asked to leave the shelter
86b94fc8-6aaa-4b35-9cd5-d6dc62363d90-1,Joe had really bad cleaning habits.,Joe tipped her really well for doing such an excellent job.,Joe decided to hire a cleaning maid.,Joe's maid came out of her room because the cleaning regimen had been in longer.,Joe hired a cleaning lady who make his home spotless.  was very dirty. ,Joe hired a cleaning lady who make his home spotless. ,She was so happy she got a tip. [SEP]Joe was very rude to her. Joe was rude to her
86b94fc8-6aaa-4b35-9cd5-d6dc62363d90-1,Joe had really bad cleaning habits.,Joe tipped her really well for doing such an excellent job.,Joe hired a cat lady.,Joe told her to tutor.,Joe hired a cleaning lady who make his home spotless.  was very dirty. ,Joe hired a cleaning lady who make his home spotless. ,She was so happy she got a tip. [SEP]Joe was very rude to her. Joe was rude to her
86b94fc8-6aaa-4b35-9cd5-d6dc62363d90-1,Joe had really bad cleaning habits.,Joe tipped her really well for doing such an excellent job.,Joe hired a cleaning lady who make his home horrible.,Joe decided to show her tricks at the office.,Joe hired a cleaning lady who make his home spotless.  was very dirty. ,Joe hired a cleaning lady who make his home spotless. ,She was so happy she got a tip. [SEP]Joe was very rude to her. Joe was rude to her
86b94fc8-6aaa-4b35-9cd5-d6dc62363d90-1,Joe had really bad cleaning habits.,Joe tipped her really well for doing such an excellent job.,Joe hired a maid to keep his apartment clean.,Joe bought a cleaning service.,Joe hired a cleaning lady who make his home spotless.  was very dirty. ,Joe hired a cleaning lady who make his home spotless. ,She was so happy she got a tip. [SEP]Joe was very rude to her. Joe was rude to her
86b94fc8-6aaa-4b35-9cd5-d6dc62363d90-1,Joe had really bad cleaning habits.,Joe tipped her really well for doing such an excellent job.,Joe hired cleaning woman who left home spotless.,Joe cleaned up all the messy papers that Joe found in the attic.,Joe hired a cleaning lady who make his home spotless.  was very dirty. ,Joe hired a cleaning lady who make his home spotless. ,She was so happy she got a tip. [SEP]Joe was very rude to her. Joe was rude to her
86cc1e3e-5c6d-453b-8f46-89d9e55a664f-1,Ricky had always wanted to learn to tie a bowtie.,Ricky was happy that he could finally tie a bowtie.,Ricky decided to search for new sneakers online.,Ricky was doing situps one day.,Ricky watched a video to learn to tie.  the instructor was determined. ,Ricky watched a video on how to do it. ,Ricky was able to tie a bowtie. Ricky was able to tie a bowtie. Ricky was able to tie a bowtie
86cc1e3e-5c6d-453b-8f46-89d9e55a664f-1,Ricky had always wanted to learn to tie a bowtie.,Ricky was happy that he could finally tie a bowtie.,Ricky practiced tying a rope on the fence for one week.,"Ricky loved her bowtie, and started to tie it.",Ricky watched a video to learn to tie.  the instructor was determined. ,Ricky watched a video on how to do it. ,Ricky was able to tie a bowtie. Ricky was able to tie a bowtie. Ricky was able to tie a bowtie
86cc1e3e-5c6d-453b-8f46-89d9e55a664f-1,Ricky had always wanted to learn to tie a bowtie.,Ricky was happy that he could finally tie a bowtie.,Ricky watched a couple YouTube videos.,Ricky taught himself how to tie a bowtie and he got great lessons.,Ricky watched a video to learn to tie.  the instructor was determined. ,Ricky watched a video on how to do it. ,Ricky was able to tie a bowtie. Ricky was able to tie a bowtie. Ricky was able to tie a bowtie
