observation1, observation2, generated hypothesis, real hypothesis
Lina has two kids.,Lina gave the clothes to charity.,Lina decided she would donate them to make up for having children. [SEP]She wanted to buy clothes for the homeless shelter. She wanted to donate clothes,Her kids had a ton of clothes.
Ynez decided on a whim to learn how to dance to a foxtrot.,Ynez learned the dance from the internet instead.,Ynez did not like the way the dance looked. Ynez did not like the way the dance looked. Yz practiced the dance,Ynez was going to learn from an instructor.
Ben decided to treat himself to a coffee.,Ben was happy after getting the call from the bank.,Ben needed to get a new job. he got a call that he was fired. he had to work,Ben was waiting to hear back about a job.
John was driving to work one day.,Unfortunately he ended up being late to work.,John got stuck in traffic on the way to work. He was driving to work. He was late to work,John decides to take a short cut through the city to save time.
The Stone family was on a bus headed towards the Great Pyramid.,Upon arriving at the pyramids the Stone family thanked the driver.,The bus drove past a tunnel. The driver of the bus was driving the pyramid. i was driving a pyramid,The Stones car broke down and they had to call a taxi.
I wanted to take a guy on a date.,I'm really looking forward to it.,I went to a nice and fancy restaurant. I decided to go to a fancy restaurant. I had a great time,I asked my neighbor out.
Sandy lived in New York.,Sandy decided to go outside and make a snowman.,The snow was very cold. The weather was getting bad. So Sandy decided to build a snowman,It snowed in New York.
The sun was shining brightly and it was very warm.,Startled and out of breath Sue ran into her house.,Sue noticed a strange figure in the house. Sue was startled by the noise. She heard a loud noise,Unexpectedly a bear came from the woods.
Becky was suspicious that someone was eating her cookies.,Becky was surprised to find herself sleepwalking to them.,Becky had eaten some cookies and was hungry. So she went to the kitchen to eat them. So she decided to make them herself,Becky put her cookies under the camera to catch someone.
Jim found a stray cat walking on the street.,Now Jim's cat lives in Jim's house and it is his pet.,Jim adopted the cat. Jim looked everywhere for the cat. Jim found the cat,Jim took it home and gave it a bath.
Mr Qu was a famous statesman from China.,He ended up being voted Man of the Year.,He was very humble and hardworking. So he worked hard to get elected. So he worked hard to get elected,Mr. Qu gave back to the community.
Liz was babysitting a 5 year old boy.,When she heard him giggling from a closet Liz was relieved.,The boy was having a hard time making friends. He was very shy. So he asked a girl out,The boy ran from Liz crying and hid.
A group of friends went to a restaurant.,The meals were worth the wait because it was the best quality.,The restaurant was a slow start but they had good service. The friends ordered their favorite foods. They had a buffet,They sat there for an hour.
I had pancakes for breakfast today.,So long blueberries we had a good time.,I made pancakes for my sister. I made a blueberry sauce. I didn't have any blueberries,I had them without the fruit topping and they were surprisingly delicious.
James realizes he hasn't left his home in days.,James is still happy that he has at least left the house.,James bought a house. So he decided to leave his house. So he didn't want to leave,James left and had nowhere to go.
Marsha had just moved in with her husband.,Marsha was elated!,Marsha's new husband had just moved in. She decided to move in with her husband. She was sad,Marsha discovered that an old friend lived in the neighborhood as she introduced herself to the neighbors.
The little boy brought his bike home.,His mother felt terrible when she saw the helmet strap was broken.,The little boy rode his bike without tying his straps. He fell off his bike. He fell off his bike,his mother ran over his helmet in the driveway.
Kate was at Summer camp.,She screeched and climbed out of the water.,Kate was in a group of scared children. Kate was scared of the water. she wanted to swim in the water,Kate saw a big fish in the lake.
David's dad bought a new television.,The television can not be returned.,David's dad lost the television. David's dad wanted to get a new television. So he tried to find one,The television stopped working after the return date.
Fred applied for a new job.,He just gave up on the job because he didn't know where to look.,Fred did not get a job offer. He was looking for a job. He had to pick a new job,He hadn't heard anything from any employers.
Dave had entered a raffle at work this past weekend.,The winners were announced and Dave had won the top prize!,Dave entered a raffle. So he decided to win a prize. So he decided to win a prize,Dave told his co-workers that if he won he would buy them all lunch for a week.
Bill was an attractive man.,He felt and looked much better after shaving.,Bill's girlfriend got into a fight with him. He decided to shave his head. So he shaved his head,Bill grew a beard but felt less attractive with it.
Emily was looking for something in her brother's room.,Emily got in big trouble with her mom.,Emily didn't want to see her brother's room. she found her brother's room. she looked all over for it,Emily's brother told on her.
The Levins owned a small corner store.,They made more than enough money to take a cab whenever they wanted!,Levin's store was getting out of business. they had to sell their merchandise. They had to sell their merchandise,Levin was very successful at running the store.
Ana didn't like dogs and never had.,She and her husband went out to buy a dog as soon as they could!,Ana's husband wanted a dog. She decided to adopt one. She decided to get a dog,One day when Anna was about to be attacked by a mugger dog came out of nowhere and attacked him 1st.
Last night I had to be home in time for the new episode I had to watch,I couldn't wait for the new one the following week.,I found the new copy on iTunes and loved it. [SEP]I couldn't find the copy I wanted. I couldn't find the copy I wanted,It was very exciting and there was a cliff hanger.
Ed was visiting California.,But gradually he got a little better at surfing.,Ed was surfing at the beach. Ed was not very good at surfing. He tried surfing at the beach,Ed tried surfing for the first time and loved it so much he kept trying.
Millie enjoyed playing peek-a-boo.,Millie's excitement about her new friend lasted until nap time.,Millie's new friend was having a baby. She was excited to be having a baby. She was pregnant,Millie was playing peek-a-boo with a friend.
Tyler's kids were getting too much screen time.,Everyone seemed much happier.,Tyler's kids got a new set of screens. They spent a lot of time on the screens. i asked for a new screen,Someone complained to the teacher.
Steve had a lot of parking tickets.,Steve dejected resolved to be more careful in the future.,Steve got into an accident and had to pay the ticket. he had to pay for the ticket. he had to pay for it,There was a boot put on his car.
Tim was painting.,Until he decided to paint a pretty picture on his shirt.,Tim's shirt was stained blue. He spilled ink all over it. He spilled his paint on the floor,He decided he wanted to make it more personal and the teacher was ok with it.
Ezekiel was herding his sheep one fall evening.,Ezekiel jumped from the hide and stabbed the wolf in the neck.,Ezekiel heard a wolf roar. Ezekiel saw a wolf. The wolf ran away,A wolf appeared near the sheep.
My friend introduced me to a close friend of his.,When I decided to ask she barely had anything to say.,I was nervous to meet him. I didn't know anyone. I didn't know anyone,I thought this person was one who stole from me before.
The Goetschius family moved to the Outer Banks.,They ended up really enjoying their new home.,The Goetschius family loved to travel. They decided to move to the New England coast. i visited the beach,The Goetschius family enjoys peace.
Amy decided to cook quinoa for her dinner.,Amy realized she needed to learn how to season food.,Amy loved the taste of the quinoa. Amy tried a new recipe. Amy tried a new recipe,Amy food tasted plain.
Franklin wanted to send a birthday card to his grandmother.,Franklin dropped the envelope into the mailbox.,Franklin mailed the card to his grandmother. Franklin was excited to receive the card. and mailed it to his grandmother,Franklin prepared the note and envelope.
Noah had a cold.,After two days Noah felt better.,Noah went to the doctor to get medicine. Noah got a cold. He ate a lot of ice,Noah took his prescribed medicine and stayed home.
Kayla went for a manicure.,She left with a beautiful nails and complete satisfaction.,Kayla went to the nail salon. it was a bit hard. it was a long day,Kayla tried a new nail shop.
Joe went to college for art.,Then he got hired.,Joe was an aspiring artist. So he worked hard and applied for a job. Joe was offered a job by a publishing company,He graduated with a degree and decided to apply for a job as an art teacher.
Roan and his family ate a lot of fruits and veggies.,Roan was glad he had come up with such a 'green' idea!,Roan decided to start using fresh fruits and veggies. he wanted to try them. to try new foods,Roan thought they should invest in a kitchen garden and grow some fruits and veggies.
Ed was starving when his dad handed him his ham sandwich.,His dad shared his sandwich with him.,Ed's dad gave him the sandwich. Ed wanted to eat the sandwich. So he ate it,Ed asked his dad her some of the sandwich.
Jay went to pick up his mail.,Jay looked at it and pick it up with great effort.,Jay put a newspaper on the ground. So he decided to pick up his mail. i was in a hurry,Jay dropped his mail on the ground and it went all over.
Georgia was checking her email.,Finally she had a clean empty inbox.,Georgia was worried about her email. She didn't want to get in trouble. She opened her email and it was not there,Georgia deleted the messages as she read them.
Sam and his wife were busy packing for their trip.,Sam and his wife had a great time together.,Sam and his wife went to the beach.  to buy their things. They bought a house,Sam and his wife went on a cruise.
Loudoun decided it was time to purchase a new microphone.,Loudoun felt great joy as he listened to himself through his new mic.,Loudoun bought a new microphone. So he went to the store and bought one. So he went to the store,Loudoun went to the store and picked up a great new mic and brought it home.
One day a salesman came by my office.,It sold for $20.,I bought a new car. I went to the dealership. i went to the car dealership,The salesman was selling a vacuum cleaner.
Larry was running late for work.,He had gotten the wrong one in his hurry.,Larry was running late for a meeting. He had to hurry to get there. He had to hurry to get to the office,He picked out a tie as he was running out of the door.
Rachel won a free skydiving trip.,Her instructor teased Rachel as she floated far down.,Rachel was excited to go. she wanted to jump. she decided to try a new trick,She took a test dive in an air tunnel.
Grandma always enjoyed knitting.,Grandma put the knitting kit to good use.,Grandma was very good at knitting. She knitted a sweater for her grand kids. So she had to make a project,Grandma saw I had a hole in my jeans.
Daria wanted a new sweater.,She found a beautiful sweater and ordered it right away.,Daria went to the store and found a sweater she liked. She decided to try out a new sweater. So she looked online and found a sweater,She used the internet to find the perfect sweater.
Toby was the Sullivan family's very first dog.,Toby lived until he was 16 years old.,Toby had a very early grave. He died of a heart attack. He had a heart attack,The Sullivan's treated Toby like a family member.
My work as a janitor keeps me busy throughout the day.,Lastly I clean floors with a vacuum cleaner.,I have a lot of free time at work. I have to clean every floor. I have to clean every floor,I have a full schedule to follow: emptying trash cleaning restrooms dusting refilling containers.
Sally went to the pet store the other day.,Sally now has a goldfish named Puppy.,Sally bought a pet goldfish. She bought a pet goldfish. She went to the pet store,Sally looked at the fish tanks and wanted one.
Last night my girlfriend and I got into a fight.,She hasn't answered my calls all day today her profile says single.,My girlfriend called me to tell me she didn't like me. I told my girlfriend I didn't like her. I told her I didn't like her,She stormed out of my house and I didn't talk to her all night.
I did not know Doug's wife's name so I asked him.,Finally I looked at Dougs wife death certificate and learned her name.,I found out that my wife was a nurse. I looked at the certificate. I looked at the certificate,Doug allowed me to look through some paperwork.
Ben liked to play around with animals.,The dog bit Ben because he was being rough with him.,Ben's friend came over to play with Ben. Ben was playing with a dog. Ben got hurt,Ben found a new dog.
Petey liked to cook.,Petey's wife was thrilled.,Petey made a delicious meal for her birthday. Petey's mom asked her to cook for her. So she decided to try a new recipe,Petey cooked dinner that night instead of his wife.
Nay wanted a pet but she was allergic to cats.,She got four fish and loved watching them every day!,Nay decided to try a new pet. Nay's cat was very friendly. Nay's cat was very friendly,Nay researched what pets would be good for people allergic to cats.
Chloe got tickets for an upcoming hockey game.,Chloe's team won and she took home an extra souvenir!,Chloe went to the game. she went to the game. she bought a souvenir,Chloe went to the hockey game and caught a puck.
Lois was often bullied at his elementary school.,Now Lois is learning well and much happier.,Lois decided to go to a school to get better. She was bullied in school. She was bullied daily,Lois got help from an adult to solve the problem when his grades started dropping.
Lucy ordered some pizza.,Lucy had to heat it up.,The pizza came out hot. lucy ordered a pizza. lucy was impatient,When it got to Lucy it was cold.
Gina drove past the dry ski slope near her home.,Just then she saw a large machine spraying fake snow on the slope.,Gina was going to the slopes. She was going to the top. She was going to the top,Gina wanted to go skiing as soon as she could.
Jason had always admired the fast movements of boxers he saw on TV.,His wrestling matches were very exciting.,Jason watched them for 30 years. i wants to see the best moves. i,He used some of the footwork to use in his wrestling.
Tom decided to go skiing in a snowstorm.,He had a cup of hot chocolate with his friends at the lodge.,Tom was not able to stay warm. He got cold. He was cold,tom got stranded but got rescued by his friends.
Jill and Lisa had been best friends for years.,Lisa was so upset.,Lisa lost her friend. Lisa lost her friend. Lisa's friend was very mean to her,She was really rude to her.
Amy was at the grocery store shopping for the week.,Amy had to chase lemons half way across the parking lot.,Amy saw a leon on the ground. Amy was going to buy some lemonade. Amy was going to buy some lemonade,Amy's bag broke in half.
Mary was signed up for a secret santa.,She had it sent to her match.,Mary received a gift from her secret santa. She had to buy it. She had to pick out the perfect gift,Mary was evil and put rattlesnakes in her gift-box.
Bill wouldn't stop playing violent video games around his son.,Bill reluctantly stopped playing the games.,Bill's son was playing the new game. But Bill's son was not very good. But he played anyway,One day his boy bashed his friend over the head with a rock.
Trish was happy to have both of her daughter's home at once.,Trish went to bed very happy that night.,Trish's daughter was home from school. Trish was hoping to get home early. it was a long day,Trish had not seen one of her daughters in a long time since she was off to college.
We gathered for the office Christmas party.,The night was a great time and everyone was happy.,We had a great time. The party was a great success. Everyone got together,We worked hard to prepare for the party.
Billy's family just moved to a new city.,They became great friends.,They met Billy at the grocery store. They met a man named Bob. They met a man named Bob,Bill instantly made friends with the neighbor that lived three houses down.
Larry was playing basketball.,The river carried his basketball all the way down the stream.,Larry tried to pass a basketball player. He was playing a game. He was playing in the river,He dropped the basketball and it rolled down the hill.
Anna was babysitting her young cousins.,Anna kept them amused all day!,Anna's cousins started to play with the toys. They were playing with a lot of toys. They were playing with a lot of them,Anna brought a bag filled with arts and crafts.
I was talking to my neighbor this morning.,The cat had been following me and got inside my house.,I was afraid of what cat might be hiding. i heard a noise outside my window. i looked for the cat,I left my neighbors gate open.
Joann was making lemon cupcakes.,They came out with an awkward texture.,Joanne accidentally used expired fruit. Joanne didn't have enough time to make the cupcakes. So she made a batch,Joann forgot to add baking soda.
Every Wednesday Mark was at the baseball fields.,Mark never ate a hotdog again.,Mark ate a hot dog but it was very spicy. He tried a new kind of hot dog. He ate it and it was delicious,Mark got food poisoning from a hotdog at the ballpark.
My trumpet teacher was amazing.,All of his examples were really funny!,My trumpet player kept interrupting the recital. He was so nervous he didn't know the words. i was trying to talk to him,He gave explicit instructions for everything he taught.
My son told me about making a little extra money in my spare time.,Now I turk almost every day and am making a lot of extra money.,I decided to give it a try. I asked my son to do it. i asked my son to do it,My son said it was called Mechanical Turk and it's run by Amazon so I know it's legitimate.
I forgot to set my alarm last night.,Luckily I'm a good worker and got one more chance.,I forgot to set my alarm. I overslept and was late for work. I was late for work,I ended up being late to work.
Pat really hated Ben.,Now Ben will never wear gloves again.,Ben got in trouble with the police. Ben stole Ben's gloves. Ben got into a fight with the police,Pat started wearing gloves as winter set in.
I put the black plastic rose in a vase with water.,Honestly I didn't really know why either.,I thought the rose was meant to protect the flowers. I put a rose on my flower bed. i put a flower in my flower bed,My friend asked me why I put a plastic rose in the vase.
Ron and his friends were hanging out late at night.,Ron said he didn't want to and his friends made fun of him.,Ron's friends made fun of him. Ron was not feeling well. Ron had to go to the doctor,Ron decided to go home so he could rest before work the next day.
Jim wanted a new kitchen sink.,Then he took some time to admire his new sink!,Jim went to the hardware store to buy a new kitchen sink. So he went to the hardware store. So he bought a new kitchen sink,Jim hired a plumber to install a farmhouse sink.
My husband Jim died of cancer last year on Valentine's Day.,Her loving father left a final love letter in their favorite book.,I found a letter from my husband. I wanted to talk to him. I wanted to talk to him,Jim wanted to leave his wife a lasting memento.
Garth woke up and pounded the alarm clock into silence.,He called 911 but there wasn't anything they could do.,Garth went to sleep because he was tired. he was tired. he was tired,Garth felt something cold next to him.
Mark wrote horror stories for a living and he took great pride in it.,Mark woke up to the sound of his alarm clock in tears.,Mark woke up to a scary story in his bedroom. it was too loud. it was loud,He fell asleep by accident before he finished his story in time.
I stopped taking my prescribed pills because they made sick.,I told the doctor his pills made me sick so i stopped taking them.,The doctor said I needed to stop taking the pills. i asked the doctor what was wrong. i was told to stop taking the pills,I went to the doctor to discuss my pills.
Tim was struggling in math.,Ultimately he ended up failing the test and had to repeat the course.,Tim tried hard to study for the final. He failed his math test. He had no idea what he was doing,Instead of asking for help Tim went to a football game with his friends the night before the final exam.
The girls went to a bar.,They went home talking about their night.,The girls decided to meet up after work. They went to a bar. They went to a bar,The girls enjoyed the bar.
Jo went up to the rooftop to work on her tan.,The landlord heard her pounding and found Jo shivering on the roof.,Jo was not feeling well. Jo was worried about the sun. So she went inside and it was cold,Jo accidentally got locked on top of the roof and started knocking on the door for help.
Bob is surprised when his truck breaks down on the highway.,The officer even gives Bob a ride to a car rental company.,Bob is driving his truck to work. Bob was driving his truck. he got into an accident,he thoought they would find it odd he was in middle of road.
I've always wanted to be able to bike thirty miles at one time.,I am so out of shape I can't even bike a mile.,I went to the gym to workout. I worked out every day. I worked out for a week,I have not been riding or working out though.
Jacob woke up at a red light.,Now Jacob only wakes up in his bed.,Jacob fell asleep while sleeping. The light turned red and he fell asleep. He turned it on,he fell asleep in the car.
Bella was very pale.,When she left her skin was a summery golden brown!,Bella went to the tanning booth. Bella was nervous about going to the tanning booth. Bella was nervous about going to the tanning booth,she decided to take a much needed vacation in florida.
Cathy was happy that she finally had some time to sew.,Cathy tapped her metal fingertips on the table in frustration.,Cathy was working on a project and it became overheated. Cathy made a mess. Cathy made a mess,Cathy put the thimbles on.
My grandmother made key lime pie.,I went to the bathroom to spit it out.,I accidentally put lime on the pie. I was mad that the pie was burnt. I made a pie,I hated the pie.
Ned needed cigarettes - he was almost out.,He bought himself two whole cartons of cigarettes.,Ned went to the store to get some. Ned went to the store. Ned went to the store,Ned saw a great deal at the wholesale club.
My friends were taking me rock climbing.,The next day I went to the real rock wall and climbed it very well.,They were making a rock climbing rock tower. I was nervous about climbing the rock wall. I didn't know how to climb the rock wall,We went to the gym to practice on a fake wall.
I went to the beach last summer to try to get a tan.,I woke up with massive sunburn all over my body.,I was very tanning. I went to the beach. I went to the beach,I fell asleep and didn't put more sunscreen on.
Kelly couldn't wait to go to Sephora for the first time to buy makeup.,By the time she left the store Kelly had about 12 different bags full,Kelly went shopping for makeup. Kelly went to the store. Kelly went to the store,The saleslady knew Kelly was going to be an easy sale.
Television is a scary thing.,I made a sandwich to satisfy my craving.,I watched television all day. [SEP]I decided to make a sandwich. I wanted to make a sandwich,One advertisement made me crave a sandwich.
One day Adam bought two BB guns.,Adam was very proud of Christian.,Adam was given a gift for his obedience. He was asked to help with the guns. So he decided to help with the other guns,Adam gave one to Christian.
We attended a Halloween,The host was scandalized.,The party was so much fun that the host was shocked. [SEP]The host threw a party. The host was not happy,The host had too much to drink and flirted with someone who was not his wife.
Everyone in my family got together for Thanksgiving.,We had a great time.,We went to the local Italian restaurant. We decided to go to a restaurant. We all went to the same restaurant,People drove in from all over the state.
Joe loved his beard.,He decided to shave it and he got a job instantly.,Joe's beard was too big. So he shaved it. So he got a beard,Joe couldn't get hired because his beard looked unprofessional.
Ben decided to treat himself to a coffee.,Ben was frustrated at the extra charge.,Ben's coffee had a caffeine content. He tried it and liked it. So he bought a coffee,The worker charged him double.
Joe had recently graduated from college.,He had to get a part-time job delivering pizzas to support himself.,Joe needed to earn a living. Joe worked hard to get a job. So he worked hard to get a job,The job market was bad.
Al loved sad music.,As soon as he saw the tear he asked her to be his wife.,Al's wife had died. i was sad. i lost my job,Al's girlfriend cried during a sad song.
Lois hated math.,She was wrong and quit within a month.,Lois' boss found out and fired her. Lois was not very good at math. She worked hard to get a degree,Lois challenged herself by enrolling in a math class.
I was walking home.,The rain made me feel even more depressed.,I got home and started to feel sick. I got home and realized I had no clean underwear. I walked home and got dirty,I was depressed because my girlfriend broke up with me. halfway through my walk it started to rain.
Alex needed groceries.,Alex bought a yacht.,Alex decided to go on a cruise. ale was a great place to live. ale was a great place to live,She decided to go to a store and look at boats on her way grocery shopping.
I wanted a pet for my birthday.,I drove home with the mini pig in my car.,I went to the pet store to buy a pet. I found a stray pig. I wanted to see if I could get one,I went to buy exotic pet with my father.
The teacher told Diana that she's failing the class.,She ended up with a 33 on the exam.,Diana decided to take the exam. She studied hard and passed the test. So she studied hard,Diana decided she didn't care and didn't study for the exam.
There were two powerful families.,The Lance's ended up winning the war and took over.,The two families fought for centuries. They fought for many centuries. They fought for many centuries,the families had a fight.
Young Myron was used to being the center of his parents' lives.,Myron realized there were good parts to being a big brother too.,Young Myron became a father. I wanted to be a big brother. I wanted to be a big brother,Myron was not happy his parents were having a baby.
Amy awoke to see the sun was shining bright in the fall.,Amy loved that beautiful fall day that felt like summer.,Amy decided to go outside and play outside. Amy decided to go outside and play outside. So it was cold out,Amy spent her day outside in the nice weather.
Terry was going through a big issue.,He never would budge.,Terry was told to stop talking about the issue. Terry talked about the issue. i asked for help,Terry stood strong on his views.
Quinton was getting evicted from his apartment.,Quinton felt depressed.,Quinton moved out of his apartment. Quinton got a new apartment. He moved out,Quinton could not find another apartment to move into.
Adam hired a maid to clean his house.,The agency dismissed the thief at once.,The maid was a contractor. The maid was not a good maid. The maid had to take care of a client,The maid stole his silverware from the house.
Dave's parents have a restaurant.,They decided to close the business.,Dave's restaurant was getting out of business. i was worried about the restaurant. i was worried about the restaurant,Dave's restaurant was no longer doing well.
Robbie struggled to hold his pencil correctly.,Robbie his teacher and his mother were all thrilled when it worked!,Robbie tried and tried to hold it perfectly. The pencil was a little loose. So he put it in a little box,Robbie finally got it right.
Jed was making a stew.,Jed regretted he hadn't just had a bowl of cereal.,Jed's cereal was not cooked enough. He forgot to put the lid on the pan. He put it in the oven,Jed burned the stew.
Annie accidentally slept in.,Since she didn't have time her hair ended up looking too messy.,Annie woke up and was embarrassed. She woke up with a big mess. She had to clean up the mess,Annie had to jump up and rush to class before she was late.
Nik was dating Jess.,So Nick decided to propose to her.,Nik was really into Jess. He asked her to marry him. He wanted to ask her out,Nik loved his girlfriend very much.
Jordan was wandering through the desert on his camel.,Jordan realized he was lost and drank his last drops of water.,Jordan was lost in the desert. Jordan was lost in the desert. He found a cave,jordan didn't pack survival gear very well.
Cora always wanted to take a cruise.,Three weeks later Cora was finally enjoying the ocean breeze!,Cora went to the ocean. on a cruise. on a cruise,during vacation holiday cora travel on a boat.
James went to the bistro to meet some friends.,They finally left and everyone was relieved at James' bravery.,James met a new friend. They went to a bar. They went to a bar,James fought off a pack of dogs.
Derek has an interview for a job.,He doesn't get the job.,Derek did not prepare for the interview. But he was nervous. he was nervous about the interview,Derek did not prepare or dress nice.
Sam was swimming at the pool.,Sam stayed out since he was already wet.,Sam was in the pool. he had to swim to get to the top. he was in the water,Sam got out and dried himself.
My friends and I were playing outside.,We put the gear away and went our separate ways.,My friends and I got into an argument over where we were going. i asked my friend to remove his gear. i was angry with her,We got into a fight.
Sandy's mom packed her a ham sandwich for lunch again.,The were both happy with the trade.,Sandy bought the ham sandwich. So she made a sandwich. So she made a sandwich,Molly didn't like her tuna so she traded with Sandy.
I bought a backup drive for my wife's iPhone using Amazon.,I thanked Amazon for their great customer service.,I found a broken drive and called customer support. I needed to buy a new one. I needed to buy a new one,the iphone came fast.
Deena was walking home one cold day.,The dog seemed sick so she took it home and kept it.,Deena saw a dog and took it home. She decided to take her dog to the vet. So she took her dog to the vet,Deena saw a little dog outside.
Tom and his wife Diane had just had their first child.,He woke his wife to tell her she then broke the news to him.,Tom's wife was not happy about the news. he was sad. unhappy,Diane had the baby stay with their grandparents one night and didn't tell Tom.
Kellen needed to find a better job.,He is forever grateful to his friend for getting him the job.,Kellen's friend offered her a job. So she went to a job fair. So she decided to hire someone else,His friend Charlie had an opening at the bar.
Tom was listening to music in class.,So Tom didn't know they weren't going to pick him up from school.,Tom was picked up by the teacher. Tom was picked up by the teacher. Tom was asked to leave the school,Tom didn't hear the message his teacher gave him.
Neil was a music lover.,Neil thought Vienna was the most musical city on earth!,Neil went to Vienna to see the famous band. Neil went to a concert. Neil went to a concert,When Neil saved his money he went to Austria.
Ed was making whiskey at home.,Sampling it Ed decided his whiskey was great!,Ed was not careful with the whiskey. He accidentally spilled some. So he poured some and put it in the toaster,Ed was nervous about how it would come out.
Susan noticed that her feet were really swollen.,After a few days she noticed that the swelling in her feet had gone do,Susan went to the doctor. She went to the doctor. She went to the doctor,Susan was six months pregnant.
Beth had been getting a lot of sore throats.,She enjoyed the relaxation and ice cream in the meantime.,Beth decided to take some medicine. She went to the doctor. She went to the doctor,Beth eventually had her tonsils out.
Charlie was driving to his friend's house in his new car.,He declined and followed street laws like a responsible car owner.,Charlie's car had a tail light out.  to drive fast.  to the side of the road,Another driver challenged him to drag race.
Cornelia had always loved working with her hands.,Cornelia chopped the table up for firewood.,Cornelia wanted to make a fire. Cornelia was not very good at cutting wood. Cornelia was not very good at cutting wood,Cornelia needed firewood for her fireplace.
A man made a wishing well next to his mailbox.,He paid for the entire meal in change.,The man's wish was for a steak. So he decided to make a steak. So he made a steak,Every person who walked by tossed in a coin.
Sam was excited the day was finally here.,Sam decided that a wedding pie would have to suffice.,The pie was not good enough for everyone. So Sam made a pie. So he asked his friends for a pie,Sam got news that his wedding cake got ruined.
Joe ordered a dining room set off of the internet for his wife.,Joe had ordered doll furniture by mistake!,Joe's wife did not know what was wrong with the set. he was upset when she told him it was for a new doll. he was told it was for a new doll,Joe did not read the website correctly.
Jacob was driving home from work.,He felt really good knowing his help was so appreciated.,Jacob's neighbor offered to help him fix his car. He had a car accident. He had to drive to the nearest mechanic,Jacob stopped to help someone fix a tire.
Ann was my date to our elementary school graduation party.,Suddenly she leaped across the car seat and planted a kiss on my lips!,Ann was nervous about her new dress. She was nervous about her new dress. She was nervous about her new dress,I drove Ann home from the party.
Robbie just joined a new band.,They record a record together.,Robbie and his band practiced every day. They practiced for a long time. They played a concert,Robbie has a bandmate.
Tom wanted to take Shelly on a date.,They both just sat and watched the sunset together.,Shelly met a man named Tom. So she went to the beach. So she went to the beach,Tom took her to a hilltop picnic.
Dave loved the outdoors.,Dave took pictures of the tall trees.,Dave went hiking in the woods. He decided to take a hike. So he decided to go hiking,The weather was beautiful.
Cindy came down sick.,Cindy started taking it that night,She ate a whole pot of soup. Cindy decided to try taking some soup. Cindy decided to try soup,Her mother bought her some cough medicine.
Jeremy had a huge test at school.,Suddenly his teacher woke him up and made him finish the test.,Jeremy was so nervous he fell asleep. He had studied all night. So he slept in,Jeremy was so tired he fell asleep during the test!.
Tara wanted to repaint her room.,She went home and painted her room pink by herself.,Tara went to the store and bought a paint brush. Tara spent hours painting her room. Tara spent hours painting it,Tara wanted a more comfortable room.
Allie didn't own many purses but was attached to the few she had.,She missed her old purse but began to love the new one just as much.,Allie decided to get a new purse. she wanted to keep the old one. she bought a new purse,Unfortunately she lost one of hers and bought a new one.
A man called me late in the afternoon on my house phone.,A few seconds later he called back.,I was worried my phone would be dead. I answered the phone. I was worried about my phone,He breathed hard into the phone and spoke a vulgar word.
Tom was drunk at a party.,It made him finally admit to being drunk.,Tom's friends made fun of him. He had a bad temper and didn't drink. He decided to get drunk,Tom is honest when he is drunk.
Beth was riding her bike at the park near her house.,The mother and her babies looked up then continued on their way.,Beth saw a baby. She was looking for a baby. She looked all over for one,Beth saw a mother duck and her babies.
Tony liked art.,Tony was hired immediately and succeeded.,Tony applied for a job at a local art studio. Tony was hired by the art director and he was immediately hired. Tony was a very good artist,Tony's artwork was considered a masterpiece by the museum.
I made a warm scarf for my mom.,Now I make scarves for everyone else too.,I made a scarf for my mom. I made a scarf for my mom. I made a scarf for my mom,Everyone admired my moms scarf.
Ava wanted to go to the zoo.,They had a great day at the zoo!,Ava went to the zoo. She went to the zoo. So she got her tickets,Ava saw all of the animals.
Ryan climbed the long set of stairs to get to the water slide.,It was even more fun than he expected.,Ryan thought he would not get the top slide. i thought he would get the top slide. i thought he would get the top slide,Ryan was scared to go down the water slide.
Bob was out hunting for deer.,Bob was rescued and was more careful from then on.,Bob got lost and got lost. Bob got lost in the woods. he got lost and got lost,Bob fell into a pit and was stuck there for hours.
I never met my real mom.,Or if I should continue my mission until she really is a ghost.,I have been haunted by a lot of creepy people lately. I have been haunted by a lot of creepy people. I have been haunted by a lot of creepy people,I have looked for her.
Ivan had one cat.,Both cats were very happy!,Ivan's cat came home very happy. Ivan's cat was sick. ivan's cat was sick,Ivan adopted a second cat.
A home was robbed in the neighborhood.,Charles had posted a picture on Instagram of him with his brother.,Charles noticed his brother was holding a gun. Charles decided to post a picture of his brother. Charles wanted to show his hatred for the people,Charles was home when it happened and went to the scene.
Jim decided to be a rockstar.,Jim signed up for guitar lessons.,Jim was not very good at playing guitar. Jim did not like playing guitar. Jim was not good at playing,but didn't know how to play an instrument.
Steve wanted to start a new business.,Steve got paid $500 for the two snakes he caught.,Steve's business went out of control. i caught several snakes. i caught several mice,Steve was unafraid of snakes people found in homes.
We lived in a condo from 1987 to 2013.,My daughter was better the next day.,We had a terrible time moving our daughter. We had a condo that was not fully furnished. We had to move our daughter,My daughter always suffered from tiredness and allergies.
Bob discovered his truck had a flat tire.,Bob drove his truck to the market.,Bob's truck stopped at a tire that was 20% less. he put the tire in the car. he put the tire in the car,He changed the flat himself.
